"","Fecha","Compra","Venta","Promedio","variacion"
"1",2002-01-11,1.65,1.7,1.675,NA
"2",2002-01-14,1.63,1.68,1.655,-0.01
"3",2002-01-15,1.9,1.95,1.925,0.16
"4",2002-01-16,1.83,1.87,1.85,-0.04
"5",2002-01-17,1.92,1.97,1.945,0.05
"6",2002-01-18,1.9,1.95,1.925,-0.01
"7",2002-01-21,1.75,1.8,1.775,-0.08
"8",2002-01-22,1.8,1.85,1.825,0.03
"9",2002-01-23,1.74,1.77,1.755,-0.04
"10",2002-01-24,1.75,1.78,1.765,0.01
"11",2002-01-25,1.75,1.78,1.765,0
"12",2002-01-28,1.77,1.8,1.785,0.01
"13",2002-01-29,1.77,1.8,1.785,0
"14",2002-01-30,1.9,1.95,1.925,0.08
"15",2002-01-31,2,2.05,2.025,0.05
"16",2002-02-01,2,2.05,2.025,0
"17",2002-02-04,2,2.05,2.025,0
"18",2002-02-05,2,2.05,2.025,0
"19",2002-02-06,2,2.05,2.025,0
"20",2002-02-07,2,2.05,2.025,0
"21",2002-02-08,2,2.05,2.025,0
"22",2002-02-11,2,2.03,2.015,0
"23",2002-02-12,1.95,1.98,1.965,-0.02
"24",2002-02-13,1.95,1.98,1.965,0
"25",2002-02-14,1.96,1.99,1.975,0.01
"26",2002-02-15,2.04,2.07,2.055,0.04
"27",2002-02-18,2.05,2.08,2.065,0
"28",2002-02-19,2.09,2.12,2.105,0.02
"29",2002-02-20,2.17,2.2,2.185,0.04
"30",2002-02-21,2.03,2.06,2.045,-0.06
"31",2002-02-22,2.08,2.11,2.095,0.02
"32",2002-02-24,2.08,2.11,2.095,0
"33",2002-02-25,2.13,2.16,2.145,0.02
"34",2002-02-26,2.15,2.18,2.165,0.01
"35",2002-02-27,2.19,2.22,2.205,0.02
"36",2002-02-28,2.17,2.19,2.18,-0.01
"37",2002-03-01,2.17,2.2,2.185,0
"38",2002-03-04,2.1,2.12,2.11,-0.03
"39",2002-03-05,2.1,2.12,2.11,0
"40",2002-03-06,2.12,2.14,2.13,0.01
"41",2002-03-07,2.2,2.22,2.21,0.04
"42",2002-03-08,2.24,2.27,2.255,0.02
"43",2002-03-11,2.3,2.32,2.31,0.02
"44",2002-03-12,2.41,2.43,2.42,0.05
"45",2002-03-13,2.4,2.42,2.41,0
"46",2002-03-14,2.44,2.46,2.45,0.02
"47",2002-03-15,2.43,2.45,2.44,0
"48",2002-03-18,2.42,2.44,2.43,0
"49",2002-03-19,2.44,2.46,2.45,0.01
"50",2002-03-20,2.52,2.54,2.53,0.03
"51",2002-03-21,2.53,2.55,2.54,0
"52",2002-03-22,3,3.1,3.05,0.2
"53",2002-03-25,3.4,3.6,3.5,0.15
"54",2002-03-26,3.05,3.1,3.075,-0.12
"55",2002-03-27,3,3.05,3.025,-0.02
"56",2002-04-02,2.9,2.93,2.915,-0.04
"57",2002-04-03,2.94,2.97,2.955,0.01
"58",2002-04-04,2.82,2.84,2.83,-0.04
"59",2002-04-05,2.78,2.82,2.8,-0.01
"60",2002-04-08,2.76,2.79,2.775,-0.01
"61",2002-04-09,2.78,2.8,2.79,0.01
"62",2002-04-10,2.78,2.8,2.79,0
"63",2002-04-11,2.82,2.84,2.83,0.01
"64",2002-04-12,2.95,2.98,2.965,0.05
"65",2002-04-13,2.95,2.98,2.965,0
"66",2002-04-15,2.93,2.95,2.94,-0.01
"67",2002-04-16,2.8,2.82,2.81,-0.04
"68",2002-04-17,2.87,2.89,2.88,0.02
"69",2002-04-18,3.12,3.15,3.135,0.09
"70",2002-04-19,3.18,3.21,3.195,0.02
"71",2002-04-29,2.93,2.95,2.94,-0.08
"72",2002-04-30,3.01,3.03,3.02,0.03
"73",2002-05-02,3.12,3.15,3.135,0.04
"74",2002-05-03,3.18,3.2,3.19,0.02
"75",2002-05-06,3.19,3.21,3.2,0
"76",2002-05-07,3.21,3.23,3.22,0.01
"77",2002-05-08,3.23,3.25,3.24,0.01
"78",2002-05-09,3.2,3.22,3.21,-0.01
"79",2002-05-10,3.29,3.31,3.3,0.03
"80",2002-05-13,3.28,3.3,3.29,0
"81",2002-05-14,3.27,3.3,3.285,0
"82",2002-05-15,3.25,3.27,3.26,-0.01
"83",2002-05-16,3.26,3.28,3.27,0
"84",2002-05-17,3.4,3.42,3.41,0.04
"85",2002-05-20,3.54,3.57,3.555,0.04
"86",2002-05-21,3.55,3.57,3.56,0
"87",2002-05-22,3.5,3.52,3.51,-0.01
"88",2002-05-23,3.47,3.49,3.48,-0.01
"89",2002-05-24,3.55,3.57,3.56,0.02
"90",2002-05-27,3.52,3.54,3.53,-0.01
"91",2002-05-28,3.52,3.54,3.53,0
